Gain;Date;Game_Name
268.96;2021-09-01;Counter Strike: Global Offensive
6014.6;2021-08-01;Counter Strike: Global Offensive
-43279.72;2021-07-01;Counter Strike: Global Offensive
-110541.81;2021-06-01;Counter Strike: Global Offensive
-63457.63;2021-05-01;Counter Strike: Global Offensive
-17581.31;2021-04-01;Counter Strike: Global Offensive
-85.42;2021-03-01;Counter Strike: Global Offensive
-2196.42;2021-02-01;Counter Strike: Global Offensive
25405.91;2021-01-01;Counter Strike: Global Offensive
49049.17;2020-12-01;Counter Strike: Global Offensive
55087.89;2020-11-01;Counter Strike: Global Offensive
6816.37;2020-10-01;Counter Strike: Global Offensive
-33107.34;2020-09-01;Counter Strike: Global Offensive
14056.85;2020-08-01;Counter Strike: Global Offensive
-45746.65;2020-07-01;Counter Strike: Global Offensive
-97147.79;2020-06-01;Counter Strike: Global Offensive
-88808.97;2020-05-01;Counter Strike: Global Offensive
186570.94;2020-04-01;Counter Strike: Global Offensive
127054.13;2020-03-01;Counter Strike: Global Offensive
42783.15;2020-02-01;Counter Strike: Global Offensive
44494.44;2020-01-01;Counter Strike: Global Offensive
30620.76;2019-12-01;Counter Strike: Global Offensive
17085.5;2019-11-01;Counter Strike: Global Offensive
-1930.29;2019-10-01;Counter Strike: Global Offensive
-4171.7;2019-09-01;Counter Strike: Global Offensive
21314.48;2019-08-01;Counter Strike: Global Offensive
4406.1;2019-07-01;Counter Strike: Global Offensive
24959.42;2019-06-01;Counter Strike: Global Offensive
12427.39;2019-05-01;Counter Strike: Global Offensive
-38250.24;2019-04-01;Counter Strike: Global Offensive
18881.2;2019-03-01;Counter Strike: Global Offensive
-30007.91;2019-02-01;Counter Strike: Global Offensive
5857.61;2019-01-01;Counter Strike: Global Offensive
85423.83;2018-12-01;Counter Strike: Global Offensive
-15822.39;2018-11-01;Counter Strike: Global Offensive
-7256.17;2018-10-01;Counter Strike: Global Offensive
49632.68;2018-09-01;Counter Strike: Global Offensive
10224.05;2018-08-01;Counter Strike: Global Offensive
6445.02;2018-07-01;Counter Strike: Global Offensive
4691.36;2018-06-01;Counter Strike: Global Offensive
-26905.82;2018-05-01;Counter Strike: Global Offensive
-65193.64;2018-04-01;Counter Strike: Global Offensive
-28186.77;2018-03-01;Counter Strike: Global Offensive
