Avg_players,Date,Game_Name
512350.92,2021-09-01,Counter Strike: Global Offensive
512081.96,2021-08-01,Counter Strike: Global Offensive
506067.36,2021-07-01,Counter Strike: Global Offensive
549347.08,2021-06-01,Counter Strike: Global Offensive
659888.89,2021-05-01,Counter Strike: Global Offensive
723346.52,2021-04-01,Counter Strike: Global Offensive
740927.82,2021-03-01,Counter Strike: Global Offensive
741013.24,2021-02-01,Counter Strike: Global Offensive
743209.66,2021-01-01,Counter Strike: Global Offensive
717803.75,2020-12-01,Counter Strike: Global Offensive
668754.58,2020-11-01,Counter Strike: Global Offensive
613666.69,2020-10-01,Counter Strike: Global Offensive
606850.32,2020-09-01,Counter Strike: Global Offensive
639957.66,2020-08-01,Counter Strike: Global Offensive
625900.81,2020-07-01,Counter Strike: Global Offensive
671647.46,2020-06-01,Counter Strike: Global Offensive
768795.25,2020-05-01,Counter Strike: Global Offensive
857604.22,2020-04-01,Counter Strike: Global Offensive
671033.29,2020-03-01,Counter Strike: Global Offensive
543979.15,2020-02-01,Counter Strike: Global Offensive
501196.0,2020-01-01,Counter Strike: Global Offensive
456701.56,2019-12-01,Counter Strike: Global Offensive
426080.81,2019-11-01,Counter Strike: Global Offensive
408995.31,2019-10-01,Counter Strike: Global Offensive
410925.6,2019-09-01,Counter Strike: Global Offensive
415097.3,2019-08-01,Counter Strike: Global Offensive
393782.83,2019-07-01,Counter Strike: Global Offensive
389376.72,2019-06-01,Counter Strike: Global Offensive
364417.31,2019-05-01,Counter Strike: Global Offensive
351989.92,2019-04-01,Counter Strike: Global Offensive
390240.16,2019-03-01,Counter Strike: Global Offensive
371358.96,2019-02-01,Counter Strike: Global Offensive
401366.87,2019-01-01,Counter Strike: Global Offensive
395509.26,2018-12-01,Counter Strike: Global Offensive
310085.43,2018-11-01,Counter Strike: Global Offensive
325907.82,2018-10-01,Counter Strike: Global Offensive
333163.99,2018-09-01,Counter Strike: Global Offensive
283531.31,2018-08-01,Counter Strike: Global Offensive
273307.26,2018-07-01,Counter Strike: Global Offensive
266862.24,2018-06-01,Counter Strike: Global Offensive
262170.88,2018-05-01,Counter Strike: Global Offensive
289076.7,2018-04-01,Counter Strike: Global Offensive
354270.33,2018-03-01,Counter Strike: Global Offensive
382457.1,2018-02-01,Counter Strike: Global Offensive
382030.53,2018-01-01,Counter Strike: Global Offensive
340876.88,2017-12-01,Counter Strike: Global Offensive
321131.4,2017-11-01,Counter Strike: Global Offensive
341861.26,2017-10-01,Counter Strike: Global Offensive
354402.09,2017-09-01,Counter Strike: Global Offensive
374425.69,2017-08-01,Counter Strike: Global Offensive
377589.04,2017-07-01,Counter Strike: Global Offensive
374388.04,2017-06-01,Counter Strike: Global Offensive
371829.34,2017-05-01,Counter Strike: Global Offensive
392199.19,2017-04-01,Counter Strike: Global Offensive
386908.72,2017-03-01,Counter Strike: Global Offensive
402385.71,2017-02-01,Counter Strike: Global Offensive
393109.53,2017-01-01,Counter Strike: Global Offensive
342195.7,2016-12-01,Counter Strike: Global Offensive
329045.26,2016-11-01,Counter Strike: Global Offensive
333076.46,2016-10-01,Counter Strike: Global Offensive
322525.89,2016-09-01,Counter Strike: Global Offensive
347229.25,2016-08-01,Counter Strike: Global Offensive
353777.56,2016-07-01,Counter Strike: Global Offensive
334311.06,2016-06-01,Counter Strike: Global Offensive
338738.39,2016-05-01,Counter Strike: Global Offensive
375795.87,2016-04-01,Counter Strike: Global Offensive
379426.95,2016-03-01,Counter Strike: Global Offensive
376285.02,2016-02-01,Counter Strike: Global Offensive
365371.09,2016-01-01,Counter Strike: Global Offensive
377447.11,2015-12-01,Counter Strike: Global Offensive
360925.88,2015-11-01,Counter Strike: Global Offensive
362766.09,2015-10-01,Counter Strike: Global Offensive
355905.33,2015-09-01,Counter Strike: Global Offensive
357535.24,2015-08-01,Counter Strike: Global Offensive
329532.38,2015-07-01,Counter Strike: Global Offensive
344156.01,2015-06-01,Counter Strike: Global Offensive
317286.29,2015-05-01,Counter Strike: Global Offensive
291748.74,2015-04-01,Counter Strike: Global Offensive
267996.31,2015-03-01,Counter Strike: Global Offensive
239934.64,2015-02-01,Counter Strike: Global Offensive
234070.68,2015-01-01,Counter Strike: Global Offensive
183589.5,2014-12-01,Counter Strike: Global Offensive
147329.07,2014-11-01,Counter Strike: Global Offensive
133537.7,2014-10-01,Counter Strike: Global Offensive
131034.68,2014-09-01,Counter Strike: Global Offensive
133185.79,2014-08-01,Counter Strike: Global Offensive
106138.0,2014-07-01,Counter Strike: Global Offensive
84163.62,2014-06-01,Counter Strike: Global Offensive
84925.02,2014-05-01,Counter Strike: Global Offensive
78880.53,2014-04-01,Counter Strike: Global Offensive
70143.33,2014-03-01,Counter Strike: Global Offensive
59791.37,2014-02-01,Counter Strike: Global Offensive
55627.35,2014-01-01,Counter Strike: Global Offensive
46788.27,2013-12-01,Counter Strike: Global Offensive
29890.52,2013-11-01,Counter Strike: Global Offensive
27902.14,2013-10-01,Counter Strike: Global Offensive
27678.91,2013-09-01,Counter Strike: Global Offensive
25961.85,2013-08-01,Counter Strike: Global Offensive
20492.52,2013-07-01,Counter Strike: Global Offensive
18119.84,2013-06-01,Counter Strike: Global Offensive
18710.34,2013-05-01,Counter Strike: Global Offensive
16006.0,2013-04-01,Counter Strike: Global Offensive
15959.89,2013-03-01,Counter Strike: Global Offensive
17372.73,2013-02-01,Counter Strike: Global Offensive
16164.22,2013-01-01,Counter Strike: Global Offensive
14079.39,2012-12-01,Counter Strike: Global Offensive
14134.1,2012-11-01,Counter Strike: Global Offensive
10739.48,2012-10-01,Counter Strike: Global Offensive
16000.75,2012-09-01,Counter Strike: Global Offensive
15475.39,2012-08-01,Counter Strike: Global Offensive
932.57,2012-07-01,Counter Strike: Global Offensive
