Avg_players;Gain;Peak_Players;Date;Game_Name
512350.92;268.96;942519;2021-09-01;Counter Strike: Global Offensive
512081.96;6014.6;802544;2021-08-01;Counter Strike: Global Offensive
506067.36;-43279.72;763523;2021-07-01;Counter Strike: Global Offensive
549347.08;-110541.81;929940;2021-06-01;Counter Strike: Global Offensive
659888.89;-63457.63;1087197;2021-05-01;Counter Strike: Global Offensive
723346.52;-17581.31;1148077;2021-04-01;Counter Strike: Global Offensive
740927.82;-85.42;1198581;2021-03-01;Counter Strike: Global Offensive
741013.24;-2196.42;1123485;2021-02-01;Counter Strike: Global Offensive
743209.66;25405.91;1124553;2021-01-01;Counter Strike: Global Offensive
717803.75;49049.17;1164396;2020-12-01;Counter Strike: Global Offensive
668754.58;55087.89;1037464;2020-11-01;Counter Strike: Global Offensive
613666.69;6816.37;943876;2020-10-01;Counter Strike: Global Offensive
606850.32;-33107.34;977769;2020-09-01;Counter Strike: Global Offensive
639957.66;14056.85;925348;2020-08-01;Counter Strike: Global Offensive
625900.81;-45746.65;857560;2020-07-01;Counter Strike: Global Offensive
671647.46;-97147.79;1009467;2020-06-01;Counter Strike: Global Offensive
768795.25;-88808.97;1193359;2020-05-01;Counter Strike: Global Offensive
857604.22;186570.94;1305714;2020-04-01;Counter Strike: Global Offensive
671033.29;127054.13;1145972;2020-03-01;Counter Strike: Global Offensive
543979.15;42783.15;916996;2020-02-01;Counter Strike: Global Offensive
501196.0;44494.44;817229;2020-01-01;Counter Strike: Global Offensive
456701.56;30620.76;767060;2019-12-01;Counter Strike: Global Offensive
426080.81;17085.5;758412;2019-11-01;Counter Strike: Global Offensive
408995.31;-1930.29;747937;2019-10-01;Counter Strike: Global Offensive
410925.6;-4171.7;720052;2019-09-01;Counter Strike: Global Offensive
415097.3;21314.48;647461;2019-08-01;Counter Strike: Global Offensive
393782.83;4406.1;578933;2019-07-01;Counter Strike: Global Offensive
389376.72;24959.42;587724;2019-06-01;Counter Strike: Global Offensive
364417.31;12427.39;588453;2019-05-01;Counter Strike: Global Offensive
351989.92;-38250.24;621614;2019-04-01;Counter Strike: Global Offensive
390240.16;18881.2;680071;2019-03-01;Counter Strike: Global Offensive
371358.96;-30007.91;654069;2019-02-01;Counter Strike: Global Offensive
401366.87;5857.61;684511;2019-01-01;Counter Strike: Global Offensive
395509.26;85423.83;746548;2018-12-01;Counter Strike: Global Offensive
310085.43;-15822.39;546031;2018-11-01;Counter Strike: Global Offensive
325907.82;-7256.17;565968;2018-10-01;Counter Strike: Global Offensive
333163.99;49632.68;583029;2018-09-01;Counter Strike: Global Offensive
283531.31;10224.05;454370;2018-08-01;Counter Strike: Global Offensive
273307.26;6445.02;426008;2018-07-01;Counter Strike: Global Offensive
